date,region,sales
2018-03-04,east,289444
2018-03-04,west,311364
2018-03-05,north,261121
2018-03-05,south,303601
2018-03-05,east,269361
2018-03-05,west,338724
2018-03-06,north,328329
2018-03-06,south,328329
2018-03-06,east,305809
2018-03-06,west,360000
2018-03-07,north,277729
2018-03-07,south,285156
2018-03-07,east,287296
2018-03-07,west,302500
2018-03-08,north,288369
2018-03-08,south,260100
2018-03-08,east,320356
2018-03-08,west,309136
2018-03-09,north,338724
2018-03-09,south,258064
2018-03-09,east,252004
2018-03-09,west,322624
2018-03-10,north,355216
2018-03-10,south,328329
2018-03-10,east,338724
2018-03-10,west,278784
2018-03-11,north,318096
2018-03-11,south,297025
2018-03-11,east,287296
2018-03-11,west,280900
2018-03-12,north,284089
2018-03-12,south,256036
2018-03-12,east,285156
2018-03-12,west,305809
2018-03-13,north,300304
2018-03-13,south,288369
2018-03-13,east,268324
2018-03-13,west,255025
2018-03-14,north,255025
2018-03-14,south,295936
2018-03-14,east,254016
2018-03-14,west,350464
2018-03-15,north,312481
2018-03-15,south,251001
2018-03-15,east,286225
2018-03-15,west,301401
2018-03-16,north,252004
2018-03-16,south,335241
2018-03-16,east,280900
2018-03-16,west,346921
2018-03-17,north,281961
2018-03-17,south,289444
2018-03-17,east,324900
2018-03-17,west,306916
2018-03-18,north,302500
2018-03-18,south,342225
2018-03-18,east,320356
2018-03-18,west,305809
2018-03-19,north,314721
2018-03-19,south,253009
2018-03-19,east,250000
2018-03-19,west,265225
2018-03-20,north,301401
2018-03-20,south,289444
2018-03-20,east,294849
2018-03-20,west,312481
2018-03-21,north,337561
2018-03-21,south,273529
2018-03-21,east,281961
2018-03-21,west,276676
2018-03-22,north,276676
2018-03-22,south,277729
2018-03-22,east,303601
2018-03-22,west,276676
2018-03-23,north,344569
2018-03-23,south,288369
2018-03-23,east,339889
2018-03-23,west,345744
2018-03-24,north,327184
2018-03-24,south,324900
2018-03-24,east,360000
2018-03-24,west,331776
2018-03-25,north,337561
2018-03-25,south,345744
2018-03-25,east,336400
2018-03-25,west,323761
2018-03-26,north,253009
2018-03-26,south,299209
2018-03-26,east,261121
2018-03-26,west,341056
2018-03-27,north,346921
2018-03-27,south,280900
2018-03-27,east,261121
2018-03-27,west,322624
2018-03-28,north,310249
2018-03-28,south,259081
2018-03-28,east,258064
2018-03-28,west,294849
2018-03-29,north,329476
2018-03-29,south,269361
2018-03-29,east,315844
2018-03-29,west,351649
2018-03-30,north,334084
2018-03-30,south,350464
2018-03-30,east,268324
2018-03-30,west,330625
2018-03-31,north,290521
2018-03-31,south,297025
2018-03-31,east,286225
2018-03-31,west,354025
2018-04-01,north,344569
2018-04-01,south,260100
2018-04-01,east,324900
2018-04-01,west,252004
2018-04-02,north,253009
2018-04-02,south,358801
2018-04-02,east,306916
2018-04-02,west,260100
2018-04-03,north,346921
2018-04-03,south,346921
2018-04-03,east,289444
2018-04-03,west,261121
2018-04-04,north,346921
2018-04-04,south,344569
2018-04-04,east,272484
2018-04-04,west,292681
2018-04-05,north,252004
2018-04-05,south,254016
2018-04-05,east,318096
2018-04-05,west,339889
2018-04-06,north,321489
2018-04-06,south,341056
2018-04-06,east,295936
2018-04-06,west,255025
2018-04-07,north,330625
2018-04-07,south,288369
2018-04-07,east,355216
2018-04-07,west,290521
2018-04-08,north,304704
2018-04-08,south,311364
2018-04-08,east,269361
2018-04-08,west,321489
2018-04-09,north,315844
2018-04-09,south,352836
2018-04-09,east,299209
2018-04-09,west,269361
2018-04-10,north,315844
2018-04-10,south,259081
2018-04-10,east,320356
2018-04-10,west,331776
2018-04-11,north,310249
2018-04-11,south,259081
2018-04-11,east,277729
2018-04-11,west,345744
2018-04-12,north,303601
2018-04-12,south,293764
2018-04-12,east,352836
2018-04-12,west,339889
2018-04-13,north,263169
2018-04-13,south,341056
2018-04-13,east,311364
2018-04-13,west,339889
2018-04-14,north,273529
2018-04-14,south,357604
2018-04-14,east,311364
2018-04-14,west,298116
2018-04-15,north,255025
2018-04-15,south,259081
2018-04-15,east,285156
2018-04-15,west,303601
2018-04-16,north,285156
2018-04-16,south,323761
2018-04-16,east,266256
2018-04-16,west,259081
2018-04-17,north,284089
2018-04-17,south,331776
2018-04-17,east,322624
2018-04-17,west,263169
2018-04-18,north,265225
2018-04-18,south,358801
2018-04-18,east,255025
2018-04-18,west,328329
2018-04-19,north,326041
2018-04-19,south,311364
2018-04-19,east,346921
2018-04-19,west,346921
2018-04-20,north,309136
2018-04-20,south,291600
2018-04-20,east,312481
2018-04-20,west,253009
2018-04-21,north,314721
2018-04-21,south,337561
2018-04-21,east,300304
2018-04-21,west,276676
2018-04-22,north,274576
2018-04-22,south,265225
2018-04-22,east,269361
2018-04-22,west,293764
2018-04-23,north,324900
2018-04-23,south,305809
2018-04-23,east,308025
2018-04-23,west,257049
2018-04-24,north,251001
2018-04-24,south,302500
2018-04-24,east,316969
2018-04-24,west,337561
2018-04-25,north,292681
2018-04-25,south,251001
2018-04-25,east,343396
2018-04-25,west,269361
2018-04-26,north,326041
2018-04-26,south,334084
2018-04-26,east,336400
2018-04-26,west,271441
2018-04-27,north,327184
2018-04-27,south,356409
2018-04-27,east,311364
2018-04-27,west,327184
2018-04-28,north,295936
2018-04-28,south,299209
2018-04-28,east,278784
2018-04-28,west,280900
2018-04-29,north,326041
2018-04-29,south,281961
2018-04-29,east,336400
2018-04-29,west,298116
2018-04-30,north,303601
2018-04-30,south,280900
2018-04-30,east,281961
2018-04-30,west,285156
2018-05-01,north,354025
2018-05-01,south,345744
2018-05-01,east,252004
2018-05-01,west,262144
2018-05-02,north,292681
2018-05-02,south,311364
2018-05-02,east,356409
2018-05-02,west,303601
2018-05-03,north,354025
2018-05-03,south,273529
2018-05-03,east,250000
2018-05-03,west,348100
2018-05-04,north,303601
2018-05-04,south,280900
2018-05-04,east,310249
2018-05-04,west,294849
2018-05-05,north,276676
2018-05-05,south,308025
2018-05-05,east,275625
2018-05-05,west,279841
2018-05-06,north,311364
2018-05-06,south,354025
2018-05-06,east,328329
2018-05-06,west,290521
2018-05-07,north,357604
2018-05-07,south,271441
2018-05-07,east,331776
2018-05-07,west,336400
2018-05-08,north,290521
2018-05-08,south,302500
2018-05-08,east,331776
2018-05-08,west,297025
2018-05-09,north,278784
2018-05-09,south,301401
2018-05-09,east,267289
2018-05-09,west,254016
2018-05-10,north,335241
2018-05-10,south,267289
2018-05-10,east,255025
2018-05-10,west,327184
2018-05-11,north,338724
2018-05-11,south,312481
2018-05-11,east,278784
2018-05-11,west,290521
2018-05-12,north,337561
2018-05-12,south,261121
2018-05-12,east,257049
2018-05-12,west,276676
2018-05-13,north,265225
2018-05-13,south,326041
2018-05-13,east,308025
2018-05-13,west,300304
2018-05-14,north,350464
2018-05-14,south,270400
2018-05-14,east,300304
2018-05-14,west,251001
2018-05-15,north,360000
2018-05-15,south,343396
2018-05-15,east,321489
2018-05-15,west,310249
2018-05-16,north,281961
2018-05-16,south,290521
2018-05-16,east,293764
2018-05-16,west,294849
2018-05-17,north,331776
2018-05-17,south,252004
2018-05-17,east,280900
2018-05-17,west,293764
2018-05-18,north,352836
2018-05-18,south,274576
2018-05-18,east,263169
2018-05-18,west,253009
2018-05-19,north,355216
2018-05-19,south,326041
2018-05-19,east,293764
2018-05-19,west,294849
2018-05-20,north,266256
2018-05-20,south,327184
2018-05-20,east,341056
2018-05-20,west,298116
2018-05-21,north,275625
2018-05-21,south,310249
2018-05-21,east,293764
2018-05-21,west,274576
2018-05-22,north,274576
2018-05-22,south,273529
2018-05-22,east,277729
2018-05-22,west,257049
2018-05-23,north,299209
2018-05-23,south,318096
2018-05-23,east,326041
2018-05-23,west,271441
2018-05-24,north,258064
2018-05-24,south,261121
2018-05-24,east,319225
2018-05-24,west,261121
2018-05-25,north,284089
2018-05-25,south,308025
2018-05-25,east,326041
2018-05-25,west,300304
2018-05-26,north,350464
2018-05-26,south,260100
2018-05-26,east,302500
2018-05-26,west,254016
2018-05-27,north,294849
2018-05-27,south,323761
2018-05-27,east,257049
2018-05-27,west,344569
2018-05-28,north,342225
2018-05-28,south,305809
2018-05-28,east,360000
2018-05-28,west,263169
2018-05-29,north,326041
2018-05-29,south,341056
2018-05-29,east,294849
2018-05-29,west,297025
2018-05-30,north,311364
2018-05-30,south,321489
2018-05-30,east,289444
2018-05-30,west,357604
2018-05-31,north,330625
2018-05-31,south,305809
2018-05-31,east,262144
2018-05-31,west,291600
2018-06-01,north,357604
2018-06-01,south,292681
2018-06-01,east,308025
2018-06-01,west,310249
2018-06-02,north,341056
2018-06-02,south,323761
2018-06-02,east,358801
2018-06-02,west,309136
2018-06-03,north,283024
2018-06-03,south,251001
2018-06-03,east,276676
2018-06-03,west,313600
2018-06-04,north,287296
2018-06-04,south,314721
2018-06-04,east,274576
2018-06-04,west,304704
2018-06-05,north,326041
2018-06-05,south,320356
2018-06-05,east,269361
2018-06-05,west,352836
2018-06-06,north,319225
2018-06-06,south,313600
2018-06-06,east,344569
2018-06-06,west,305809
2018-06-07,north,256036
2018-06-07,south,274576
2018-06-07,east,354025
2018-06-07,west,269361
2018-06-08,north,328329
2018-06-08,south,312481
2018-06-08,east,319225
2018-06-08,west,285156
2018-06-09,north,352836
2018-06-09,south,349281
2018-06-09,east,304704
2018-06-09,west,308025
2018-06-10,north,276676
2018-06-10,south,299209
2018-06-10,east,335241
2018-06-10,west,269361
2018-06-11,north,355216
2018-06-11,south,312481
2018-06-11,east,320356
2018-06-11,west,331776
2018-06-12,north,350464
2018-06-12,south,267289
2018-06-12,east,266256
2018-06-12,west,264196
2018-06-13,north,314721
2018-06-13,south,314721
2018-06-13,east,274576
2018-06-13,west,314721
2018-06-14,north,344569
2018-06-14,south,309136
2018-06-14,east,284089
2018-06-14,west,281961
2018-06-15,north,292681
2018-06-15,south,335241
2018-06-15,east,281961
2018-06-15,west,355216
2018-06-16,north,305809
2018-06-16,south,299209
2018-06-16,east,275625
2018-06-16,west,288369
2018-06-17,north,284089
2018-06-17,south,260100
2018-06-17,east,287296
2018-06-17,west,293764
2018-06-18,north,260100
2018-06-18,south,323761
2018-06-18,east,288369
2018-06-18,west,297025
2018-06-19,north,281961
2018-06-19,south,339889
2018-06-19,east,292681
2018-06-19,west,287296
2018-06-20,north,308025
2018-06-20,south,305809
2018-06-20,east,334084
2018-06-20,west,269361
2018-06-21,north,358801
2018-06-21,south,279841
2018-06-21,east,269361
2018-06-21,west,264196
2018-06-22,north,337561
2018-06-22,south,358801
2018-06-22,east,315844
2018-06-22,west,314721
2018-06-23,north,356409
2018-06-23,south,268324
2018-06-23,east,319225
2018-06-23,west,272484
2018-06-24,north,271441
2018-06-24,south,292681
2018-06-24,east,260100
2018-06-24,west,306916
2018-06-25,north,302500
2018-06-25,south,285156
2018-06-25,east,266256
2018-06-25,west,292681
2018-06-26,north,331776
2018-06-26,south,261121
2018-06-26,east,251001
2018-06-26,west,294849
2018-06-27,north,277729
2018-06-27,south,305809
2018-06-27,east,323761
2018-06-27,west,308025
2018-06-28,north,271441
2018-06-28,south,298116
2018-06-28,east,318096
2018-06-28,west,251001
2018-06-29,north,315844
2018-06-29,south,345744
2018-06-29,east,294849
2018-06-29,west,351649
2018-06-30,north,268324
2018-06-30,south,303601
2018-06-30,east,255025
2018-06-30,west,269361
2018-07-01,north,338724
2018-07-01,south,310249
2018-07-01,east,327184
2018-07-01,west,268324
2018-07-02,north,319225
2018-07-02,south,288369
2018-07-02,east,313600
2018-07-02,west,310249
2018-07-03,north,300304
2018-07-03,south,298116
2018-07-03,east,292681
2018-07-03,west,255025
2018-07-04,north,337561
2018-07-04,south,279841
2018-07-04,east,345744
2018-07-04,west,274576
2018-07-05,north,341056
2018-07-05,south,301401
2018-07-05,east,275625
2018-07-05,west,250000
2018-07-06,north,337561
2018-07-06,south,272484
2018-07-06,east,343396
2018-07-06,west,316969
2018-07-07,north,350464
2018-07-07,south,348100
2018-07-07,east,319225
2018-07-07,west,272484
2018-07-08,north,292681
2018-07-08,south,350464
2018-07-08,east,255025
2018-07-08,west,344569
2018-07-09,north,292681
2018-07-09,south,355216
2018-07-09,east,264196
2018-07-09,west,255025
2018-07-10,north,357604
2018-07-10,south,357604
2018-07-10,east,342225
2018-07-10,west,344569
2018-07-11,north,286225
2018-07-11,south,273529
2018-07-11,east,298116
2018-07-11,west,312481
2018-07-12,north,281961
2018-07-12,south,250000
2018-07-12,east,263169
2018-07-12,west,328329
2018-07-13,north,339889
2018-07-13,south,283024
2018-07-13,east,313600
2018-07-13,west,253009
2018-07-14,north,250000
2018-07-14,south,303601
2018-07-14,east,291600
2018-07-14,west,275625
2018-07-15,north,335241
2018-07-15,south,326041
2018-07-15,east,320356
2018-07-15,west,263169
2018-07-16,north,349281
2018-07-16,south,323761
2018-07-16,east,268324
2018-07-16,west,255025
2018-07-17,north,267289
2018-07-17,south,272484
2018-07-17,east,355216
2018-07-17,west,289444
2018-07-18,north,322624
2018-07-18,south,304704
2018-07-18,east,260100
2018-07-18,west,305809
2018-07-19,north,291600
2018-07-19,south,330625
2018-07-19,east,322624
2018-07-19,west,259081
2018-07-20,north,332929
2018-07-20,south,344569
2018-07-20,east,300304
2018-07-20,west,303601
2018-07-21,north,330625
2018-07-21,south,320356
2018-07-21,east,306916
2018-07-21,west,304704
2018-07-22,north,287296
2018-07-22,south,349281
2018-07-22,east,305809
2018-07-22,west,301401
2018-07-23,north,298116
2018-07-23,south,292681
2018-07-23,east,328329
2018-07-23,west,294849
2018-07-24,north,321489
2018-07-24,south,330625
2018-07-24,east,341056
2018-07-24,west,269361
2018-07-25,north,250000
2018-07-25,south,323761
2018-07-25,east,261121
2018-07-25,west,335241
2018-07-26,north,286225
2018-07-26,south,346921
2018-07-26,east,267289
2018-07-26,west,257049
2018-07-27,north,305809
2018-07-27,south,288369
2018-07-27,east,319225
2018-07-27,west,295936
2018-07-28,north,255025
2018-07-28,south,278784
2018-07-28,east,283024
2018-07-28,west,337561
2018-07-29,north,356409
2018-07-29,south,284089
2018-07-29,east,339889
2018-07-29,west,342225
2018-07-30,north,342225
2018-07-30,south,306916
2018-07-30,east,253009
2018-07-30,west,350464
2018-07-31,north,319225
2018-07-31,south,323761
2018-07-31,east,266256
2018-07-31,west,276676
2018-08-01,north,271441
2018-08-01,south,311364
2018-08-01,east,268324
2018-08-01,west,308025
2018-08-02,north,259081
2018-08-02,south,290521
2018-08-02,east,266256
2018-08-02,west,310249
2018-08-03,north,309136
2018-08-03,south,310249
2018-08-03,east,328329
2018-08-03,west,309136
2018-08-04,north,262144
2018-08-04,south,334084
2018-08-04,east,337561
2018-08-04,west,350464
2018-08-05,north,302500
2018-08-05,south,284089
2018-08-05,east,289444
2018-08-05,west,349281
2018-08-06,north,288369
2018-08-06,south,286225
2018-08-06,east,268324
2018-08-06,west,355216
2018-08-07,north,272484
2018-08-07,south,270400
2018-08-07,east,267289
2018-08-07,west,293764
2018-08-08,north,308025
2018-08-08,south,263169
2018-08-08,east,252004
2018-08-08,west,290521
2018-08-09,north,358801
2018-08-09,south,357604
2018-08-09,east,291600
2018-08-09,west,314721
2018-08-10,north,291600
2018-08-10,south,268324
2018-08-10,east,321489
2018-08-10,west,354025
2018-08-11,north,316969
2018-08-11,south,302500
2018-08-11,east,261121
2018-08-11,west,279841
2018-08-12,north,253009
2018-08-12,south,337561
2018-08-12,east,328329
2018-08-12,west,337561
2018-08-13,north,321489
2018-08-13,south,294849
2018-08-13,east,298116
2018-08-13,west,288369
2018-08-14,north,292681
2018-08-14,south,297025
2018-08-14,east,327184
2018-08-14,west,323761
2018-08-15,north,285156
2018-08-15,south,264196
2018-08-15,east,360000
2018-08-15,west,334084
2018-08-16,north,355216
2018-08-16,south,289444
2018-08-16,east,337561
2018-08-16,west,348100
2018-08-17,north,350464
2018-08-17,south,326041
2018-08-17,east,292681
2018-08-17,west,341056
2018-08-18,north,259081
2018-08-18,south,350464
2018-08-18,east,316969
2018-08-18,west,326041
2018-08-19,north,253009
2018-08-19,south,275625
2018-08-19,east,321489
2018-08-19,west,275625
2018-08-20,north,277729
2018-08-20,south,351649
2018-08-20,east,306916
2018-08-20,west,252004
2018-08-21,north,357604
2018-08-21,south,305809
2018-08-21,east,300304
2018-08-21,west,323761
2018-08-22,north,322624
2018-08-22,south,250000
2018-08-22,east,263169
2018-08-22,west,360000
2018-08-23,north,269361
2018-08-23,south,268324
2018-08-23,east,355216
2018-08-23,west,271441
2018-08-24,north,266256
2018-08-24,south,270400
2018-08-24,east,334084
2018-08-24,west,300304
2018-08-25,north,294849
2018-08-25,south,312481
2018-08-25,east,345744
2018-08-25,west,255025
2018-08-26,north,264196
2018-08-26,south,265225
2018-08-26,east,309136
2018-08-26,west,278784
2018-08-27,north,286225
2018-08-27,south,336400
2018-08-27,east,285156
2018-08-27,west,253009
2018-08-28,north,272484
2018-08-28,south,313600
2018-08-28,east,304704
2018-08-28,west,329476
2018-08-29,north,306916
2018-08-29,south,357604
2018-08-29,east,334084
2018-08-29,west,301401
2018-08-30,north,297025
2018-08-30,south,337561
2018-08-30,east,308025
2018-08-30,west,348100
2018-08-31,north,339889
2018-08-31,south,319225
2018-08-31,east,300304
2018-08-31,west,285156
2018-09-01,north,270400
2018-09-01,south,250000
2018-09-01,east,328329
2018-09-01,west,269361
2018-09-02,north,259081
2018-09-02,south,303601
2018-09-02,east,252004
2018-09-02,west,275625
2018-09-03,north,339889
2018-09-03,south,348100
2018-09-03,east,311364
2018-09-03,west,302500
2018-09-04,north,357604
2018-09-04,south,253009
2018-09-04,east,354025
2018-09-04,west,263169
2018-09-05,north,332929
2018-09-05,south,290521
2018-09-05,east,304704
2018-09-05,west,284089
2018-09-06,north,326041
2018-09-06,south,252004
2018-09-06,east,343396
2018-09-06,west,302500
2018-09-07,north,356409
2018-09-07,south,292681
2018-09-07,east,350464
2018-09-07,west,303601
2018-09-08,north,305809
2018-09-08,south,342225
2018-09-08,east,261121
2018-09-08,west,269361
2018-09-09,north,259081
2018-09-09,south,289444
2018-09-09,east,298116
2018-09-09,west,322624
2018-09-10,north,302500
2018-09-10,south,304704
2018-09-10,east,352836
2018-09-10,west,259081
2018-09-11,north,276676
2018-09-11,south,346921
2018-09-11,east,339889
2018-09-11,west,258064
2018-09-12,north,328329
2018-09-12,south,319225
2018-09-12,east,336400
2018-09-12,west,261121
2018-09-13,north,303601
2018-09-13,south,270400
2018-09-13,east,312481
2018-09-13,west,263169
2018-09-14,north,326041
2018-09-14,south,268324
2018-09-14,east,337561
2018-09-14,west,321489
2018-09-15,north,279841
2018-09-15,south,254016
2018-09-15,east,320356
2018-09-15,west,338724
2018-09-16,north,268324
2018-09-16,south,268324
2018-09-16,east,352836
2018-09-16,west,352836
2018-09-17,north,345744
2018-09-17,south,291600
2018-09-17,east,265225
2018-09-17,west,329476
2018-09-18,north,251001
2018-09-18,south,260100
2018-09-18,east,335241
2018-09-18,west,318096
2018-09-19,north,264196
2018-09-19,south,343396
2018-09-19,east,351649
2018-09-19,west,281961
2018-09-20,north,315844
2018-09-20,south,339889
2018-09-20,east,306916
2018-09-20,west,273529
2018-09-21,north,280900
2018-09-21,south,308025
2018-09-21,east,327184
2018-09-21,west,322624
2018-09-22,north,295936
2018-09-22,south,277729
2018-09-22,east,343396
2018-09-22,west,299209
2018-09-23,north,332929
2018-09-23,south,312481
2018-09-23,east,331776
2018-09-23,west,342225
2018-09-24,north,288369
2018-09-24,south,281961
2018-09-24,east,358801
2018-09-24,west,270400
2018-09-25,north,260100
2018-09-25,south,348100
2018-09-25,east,288369
2018-09-25,west,321489
2018-09-26,north,290521
2018-09-26,south,255025
2018-09-26,east,326041
2018-09-26,west,250000
2018-09-27,north,295936
2018-09-27,south,326041
2018-09-27,east,337561
2018-09-27,west,279841
2018-09-28,north,339889
2018-09-28,south,261121
2018-09-28,east,303601
2018-09-28,west,254016
2018-09-29,north,256036
2018-09-29,south,292681
2018-09-29,east,321489
2018-09-29,west,283024
2018-09-30,north,338724
2018-09-30,south,262144
2018-09-30,east,305809
2018-09-30,west,258064
2018-10-01,north,352836
2018-10-01,south,295936
2018-10-01,east,342225
2018-10-01,west,302500
2018-10-02,north,313600
2018-10-02,south,321489
2018-10-02,east,360000
2018-10-02,west,336400
2018-10-03,north,271441
2018-10-03,south,355216
2018-10-03,east,262144
2018-10-03,west,345744
2018-10-04,north,254016
2018-10-04,south,270400
2018-10-04,east,293764
2018-10-04,west,358801
2018-10-05,north,351649
2018-10-05,south,314721
2018-10-05,east,326041
2018-10-05,west,357604
2018-10-06,north,278784
2018-10-06,south,301401
2018-10-06,east,283024
2018-10-06,west,255025
2018-10-07,north,261121
2018-10-07,south,287296
2018-10-07,east,357604
2018-10-07,west,276676
2018-10-08,north,321489
2018-10-08,south,290521
2018-10-08,east,351649
2018-10-08,west,354025
2018-10-09,north,313600
2018-10-09,south,280900
2018-10-09,east,267289
2018-10-09,west,279841
2018-10-10,north,339889
2018-10-10,south,321489
2018-10-10,east,284089
2018-10-10,west,252004
2018-10-11,north,283024
2018-10-11,south,360000
2018-10-11,east,339889
2018-10-11,west,311364
2018-10-12,north,352836
2018-10-12,south,301401
2018-10-12,east,264196
2018-10-12,west,304704
2018-10-13,north,277729
2018-10-13,south,326041
2018-10-13,east,329476
2018-10-13,west,315844
2018-10-14,north,331776
2018-10-14,south,342225
2018-10-14,east,251001
2018-10-14,west,285156
2018-10-15,north,286225
2018-10-15,south,328329
2018-10-15,east,266256
2018-10-15,west,293764
2018-10-16,north,267289
2018-10-16,south,306916
2018-10-16,east,302500
2018-10-16,west,355216
2018-10-17,north,262144
2018-10-17,south,267289
2018-10-17,east,304704
2018-10-17,west,300304
2018-10-18,north,318096
2018-10-18,south,256036
2018-10-18,east,253009
2018-10-18,west,311364
2018-10-19,north,257049
2018-10-19,south,295936
2018-10-19,east,357604
2018-10-19,west,316969
2018-10-20,north,318096
2018-10-20,south,306916
2018-10-20,east,350464
2018-10-20,west,324900
2018-10-21,north,273529
2018-10-21,south,322624
2018-10-21,east,346921
2018-10-21,west,346921
2018-10-22,north,264196
2018-10-22,south,323761
2018-10-22,east,276676
2018-10-22,west,257049
2018-10-23,north,345744
2018-10-23,south,314721
2018-10-23,east,285156
2018-10-23,west,342225
2018-10-24,north,302500
2018-10-24,south,294849
2018-10-24,east,318096
2018-10-24,west,264196
2018-10-25,north,294849
2018-10-25,south,279841
2018-10-25,east,297025
2018-10-25,west,303601
2018-10-26,north,283024
2018-10-26,south,258064
2018-10-26,east,265225
2018-10-26,west,323761
2018-10-27,north,253009
2018-10-27,south,253009
2018-10-27,east,315844
2018-10-27,west,354025
2018-10-28,north,297025
2018-10-28,south,341056
2018-10-28,east,354025
2018-10-28,west,342225
2018-10-29,north,323761
2018-10-29,south,321489
2018-10-29,east,284089
2018-10-29,west,352836
2018-10-30,north,312481
2018-10-30,south,328329
2018-10-30,east,260100
2018-10-30,west,350464
2018-10-31,north,311364
2018-10-31,south,299209
2018-10-31,east,283024
2018-10-31,west,252004
2018-11-01,north,318096
2018-11-01,south,292681
2018-11-01,east,281961
2018-11-01,west,267289
2018-11-02,north,331776
2018-11-02,south,287296
2018-11-02,east,260100
2018-11-02,west,356409
2018-11-03,north,322624
2018-11-03,south,303601
2018-11-03,east,266256
2018-11-03,west,293764
2018-11-04,north,319225
2018-11-04,south,280900
2018-11-04,east,260100
2018-11-04,west,300304
2018-11-05,north,288369
2018-11-05,south,290521
2018-11-05,east,350464
2018-11-05,west,299209
2018-11-06,north,336400
2018-11-06,south,280900
2018-11-06,east,349281
2018-11-06,west,299209
2018-11-07,north,259081
2018-11-07,south,342225
2018-11-07,east,302500
2018-11-07,west,281961
2018-11-08,north,266256
2018-11-08,south,292681
2018-11-08,east,250000
2018-11-08,west,273529
2018-11-09,north,301401
2018-11-09,south,306916
2018-11-09,east,324900
2018-11-09,west,328329
2018-11-10,north,280900
2018-11-10,south,263169
2018-11-10,east,272484
2018-11-10,west,348100
2018-11-11,north,329476
2018-11-11,south,258064
2018-11-11,east,299209
2018-11-11,west,306916
2018-11-12,north,327184
2018-11-12,south,288369
2018-11-12,east,273529
2018-11-12,west,358801
2018-11-13,north,320356
2018-11-13,south,277729
2018-11-13,east,350464
2018-11-13,west,300304
2018-11-14,north,271441
2018-11-14,south,323761
2018-11-14,east,261121
2018-11-14,west,274576
2018-11-15,north,292681
2018-11-15,south,320356
2018-11-15,east,257049
2018-11-15,west,323761
2018-11-16,north,279841
2018-11-16,south,350464
2018-11-16,east,306916
2018-11-16,west,276676
2018-11-17,north,268324
2018-11-17,south,255025
2018-11-17,east,285156
2018-11-17,west,269361
2018-11-18,north,257049
2018-11-18,south,336400
2018-11-18,east,290521
2018-11-18,west,301401
2018-11-19,north,267289
2018-11-19,south,250000
2018-11-19,east,330625
2018-11-19,west,271441
2018-11-20,north,356409
2018-11-20,south,276676
2018-11-20,east,295936
2018-11-20,west,311364
2018-11-21,north,290521
2018-11-21,south,253009
2018-11-21,east,300304
2018-11-21,west,264196
2018-11-22,north,302500
2018-11-22,south,343396
2018-11-22,east,324900
2018-11-22,west,335241
2018-11-23,north,351649
2018-11-23,south,337561
2018-11-23,east,270400
2018-11-23,west,328329
2018-11-24,north,316969
